
----------------------------- live log collection ------------------------------
DEBUG    jax._src.path:path.py:41 etils.epath found. Using etils.epath for file I/O.

DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: 67fa2aa4e12d269d35bdf237aac8af2136d6189043c21d00a962dac19819698f
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: 67fa2aa4e12d269d35bdf237aac8af2136d6189043c21d00a962dac19819698f
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 4c989d112684bca3bc7a561cf5e9c04c1693a91ed6fc0412005fe9e7644dd1d1
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: d928f4f1e4855bc091f74d590a74ce60a77eeb0f5bfe4163406d8baa42cd5f60
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: ea1e4a009af5d2cebf6222d75bd08bc275105bc754e713b0e8978b2e85266d8a
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: abc5365eb9d8ef7787481201437c3f64f1b34a57cd32661a2f6112d9ba085d91
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: abc5365eb9d8ef7787481201437c3f64f1b34a57cd32661a2f6112d9ba085d91
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_convert_element_type' with key 'jit_convert_element_type-abc5365eb9d8ef7787481201437c3f64f1b34a57cd32661a2f6112d9ba085d91'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_convert_element_type' because it took < 1.00 seconds to compile (0.00s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(convert_element_type) in 0.005298615 sec
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming broadcast_in_dim for pjit in 0.000355244 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(broadcast_in_dim) with global shapes and types (ShapedArray(float32[]),). Argument mapping: (UnspecifiedValue,).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(broadcast_in_dim) in 0.001969099 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: 45fc72a250224fb7c7a9d209fe4f77531419a7bc07c67fcd540b51ff69f3965b
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: 45fc72a250224fb7c7a9d209fe4f77531419a7bc07c67fcd540b51ff69f3965b
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: 4e2f4d182d194a15dd85ef110e74ebe31e8c6af872e730d7814e1643f38cc73c
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: 4a854ab97783c129a95c32e4220d7daf0c22a3d70fa218a9a588aef96ab73d03
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: 4a854ab97783c129a95c32e4220d7daf0c22a3d70fa218a9a588aef96ab73d03
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 4c989d112684bca3bc7a561cf5e9c04c1693a91ed6fc0412005fe9e7644dd1d1
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: e79783ef69858dd0a2810d8aa934dfaf11b63d5966988158b99103500087daa0
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: aa625a5a8890f3f89cfbc4ccb2d3de51fb63accf63c726bfb187b23a9aac40ff
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: d7b1ab52193ce8c3a0ae630158342b3df33406f954ffd59d3d611893169baa12
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: d7b1ab52193ce8c3a0ae630158342b3df33406f954ffd59d3d611893169baa12
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_broadcast_in_dim' with key 'jit_broadcast_in_dim-d7b1ab52193ce8c3a0ae630158342b3df33406f954ffd59d3d611893169baa12'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_broadcast_in_dim' because it took < 1.00 seconds to compile (0.01s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(broadcast_in_dim) in 0.010134459 sec
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming negative for pjit in 0.000281096 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(negative) with global shapes and types (ShapedArray(float32[15000,2]),). Argument mapping: (UnspecifiedValue,).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(negative) in 0.002174139 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: 9955fa0dbb1875364c1941512f3cb3d832209d0319a88f1bd3d5ec471ff77704
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: 9955fa0dbb1875364c1941512f3cb3d832209d0319a88f1bd3d5ec471ff77704
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: b2dfebd494748b25d17a62eb9bd05f0f84cbfd4d45d7fdc772bb5bf6e185b3c4
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: 784f21f7dd2fef8dd75f0712363a2a4891bd8b55b148f3ec758feb1557cc33a4
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: 784f21f7dd2fef8dd75f0712363a2a4891bd8b55b148f3ec758feb1557cc33a4
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 4c989d112684bca3bc7a561cf5e9c04c1693a91ed6fc0412005fe9e7644dd1d1
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: 9807b9b9b13202ce513f5d9d15d11e5014783deb80a6941e538ca64ebd26e213
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: c558038aacf229665817186f717a44f67bca8ab02d08e9b489758e2a36b85ec2
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: 3a7e759f5dd6cfa9fafe1769ceadc349b546bb6956f0074f47f7881e56ec177d
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: 3a7e759f5dd6cfa9fafe1769ceadc349b546bb6956f0074f47f7881e56ec177d
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_negative' with key 'jit_negative-3a7e759f5dd6cfa9fafe1769ceadc349b546bb6956f0074f47f7881e56ec177d'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_negative' because it took < 1.00 seconds to compile (0.01s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(negative) in 0.010327578 sec
PASSED                                                                   [ 58%]
tests/test_manifolds_jax.py::test_scalar_mul[Euclidean-2-float32] 
-------------------------------- live log call ---------------------------------
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming broadcast_in_dim for pjit in 0.000234127 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(broadcast_in_dim) with global shapes and types (ShapedArray(float32[]),). Argument mapping: (UnspecifiedValue,).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(broadcast_in_dim) in 0.002167225 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: 40f29880af98335d7044450aa8b15d5187d1c3ad7269452600c75e2f252a42b3
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: 40f29880af98335d7044450aa8b15d5187d1c3ad7269452600c75e2f252a42b3
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: 81a1289723cfeee23257d038d9c6734810ed6804ce90f00d0a05d2ab8f0b94f0
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: 8a88e6c533e47f15201194b876db14ebe12d7f5354da996ba18a22570d61d904
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: 8a88e6c533e47f15201194b876db14ebe12d7f5354da996ba18a22570d61d904
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 4c989d112684bca3bc7a561cf5e9c04c1693a91ed6fc0412005fe9e7644dd1d1
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: d6bc29cc136442e0613cb0ebfded59aaef7bec7d0d52d5e6bf6426144712fdb0
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: d9cb1212cb73da73fa6e88587a697050ef415039289def69a6dadaf0bb550c62
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: 00c9c0434e0fba8fa96570c34d14901aa967ed2e7a8d67ac6556b7e969fbeeb7
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: 00c9c0434e0fba8fa96570c34d14901aa967ed2e7a8d67ac6556b7e969fbeeb7
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_broadcast_in_dim' with key 'jit_broadcast_in_dim-00c9c0434e0fba8fa96570c34d14901aa967ed2e7a8d67ac6556b7e969fbeeb7'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_broadcast_in_dim' because it took < 1.00 seconds to compile (0.01s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(broadcast_in_dim) in 0.010014534 sec
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming multiply for pjit in 0.000380993 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(multiply) with global shapes and types (ShapedArray(float32[15000,1]), ShapedArray(float32[], weak_type=True)). Argument mapping: (UnspecifiedValue, UnspecifiedValue).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(multiply) in 0.002539158 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: 2e69db6a77f61a975bbc279cfadf434440d05ef6e83cac68cb6827f1efb92dd4
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: 2e69db6a77f61a975bbc279cfadf434440d05ef6e83cac68cb6827f1efb92dd4
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: af7d368632c91cc531d9b0d558bb4046f3cf14cab4f72eca0c74d86737b489cf
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: 019d6220529a8125aa33ab038a9a62578f87a9a4ade545e11883e0054f58c1c9
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: 019d6220529a8125aa33ab038a9a62578f87a9a4ade545e11883e0054f58c1c9
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 8a304926931cc1be559f19a32cb5e1132730af8a9a3feab79a2908da49e7022a
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: 30b7dcd61f2629cc6b8ed005e7ad6c153f2847819de6cf63269704479fbc468d
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: 6b90421527ece63a49a28f95b84f05063ec8da23f8fc52b9aea60f56c1b7bb77
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: 4ac8fb6d041b44acd452837fffb6528015cd58f577e5c3f050b68458983bd571
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: 4ac8fb6d041b44acd452837fffb6528015cd58f577e5c3f050b68458983bd571
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_multiply' with key 'jit_multiply-4ac8fb6d041b44acd452837fffb6528015cd58f577e5c3f050b68458983bd571'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_multiply' because it took < 1.00 seconds to compile (0.02s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(multiply) in 0.019620419 sec
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming multiply for pjit in 0.000277758 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(multiply) with global shapes and types (ShapedArray(float32[15000,1]), ShapedArray(float32[15000,1])). Argument mapping: (UnspecifiedValue, UnspecifiedValue).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(multiply) in 0.002204418 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: 688e72b5cc3f9c4698e598fdffedec6d606357ec0c8b5548f78d68e6d7a97ee0
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: 688e72b5cc3f9c4698e598fdffedec6d606357ec0c8b5548f78d68e6d7a97ee0
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: 033ddee7cca1f6e155507f82f5864f476bc96d01d1fd41327014c07ea5872d21
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: f990eb6b121e4fe569bd7a29ba1d0e9343db43b14a08c85cb849beee4673059b
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: f990eb6b121e4fe569bd7a29ba1d0e9343db43b14a08c85cb849beee4673059b
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 8a304926931cc1be559f19a32cb5e1132730af8a9a3feab79a2908da49e7022a
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: c0a3d62e96826310ee6e7f4b27a8f020b52c5236f8621f3261c32f09f08fe5dd
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: 22ee99abee082e6dd62423d85c4e1397b00e59041d52f36c1fcc73e723b91bc5
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: 3a0e85a405b32f7535609e90c0e2bd99281ce5b5af7369b3f466b5f0d609f6e9
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: 3a0e85a405b32f7535609e90c0e2bd99281ce5b5af7369b3f466b5f0d609f6e9
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_multiply' with key 'jit_multiply-3a0e85a405b32f7535609e90c0e2bd99281ce5b5af7369b3f466b5f0d609f6e9'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_multiply' because it took < 1.00 seconds to compile (0.01s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(multiply) in 0.010549307 sec
PASSED                                                                   [ 58%]
tests/test_manifolds_jax.py::test_expmap_retraction_logmap[Euclidean-2-float32] PASSED [ 58%]
tests/test_manifolds_jax.py::test_addition[Euclidean-2-float64] PASSED   [ 58%]
tests/test_manifolds_jax.py::test_scalar_mul[Euclidean-2-float64] PASSED [ 58%]
tests/test_manifolds_jax.py::test_expmap_retraction_logmap[Euclidean-2-float64] PASSED [ 59%]
tests/test_manifolds_jax.py::test_addition[Euclidean-5-float64] 
-------------------------------- live log call ---------------------------------
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming split for pjit in 0.000268459 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(split) with global shapes and types (ShapedArray(float32[15000,5]),). Argument mapping: (UnspecifiedValue,).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(split) in 0.002460480 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized computation: 4c694c7cac76d320c858f7a44e3cd3fd4d429a2d5090c4b0c14b8fd95ca3c6fa
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing computation: 4c694c7cac76d320c858f7a44e3cd3fd4d429a2d5090c4b0c14b8fd95ca3c6fa
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized jax_lib version: fa68a1c9139e7f4cd197843f633f3488babc580c59f9ec627ea1c945881de159
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing jax_lib version: ed7eaa569e34b38f1d02ef8e26c3c69a1bd001071edd4e57cb3eb6f5c8579983
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized backend version: d01711a267aea6695c681e4e75ed43f0e973d36f19b2f3c261d517b8c32285b2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing backend version: 42727364a684ea7fd4b58dae0082090a833c23f27676221fcbfc5904322c0091
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized XLA flags: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing XLA flags: 42727364a684ea7fd4b58dae0082090a833c23f27676221fcbfc5904322c0091
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compile_options: 72414d33b87d9bc7dc117792f17108240cf0fc89dcfd758dbc1c570ebb89f4be
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compile_options: 170b3bf210fdb2df236143423bd2aea13229515fd5820b2da3c00a6e9bda5b91
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized accelerator_config: 8f6709f7f2d2fda1f062c273fd9e95b3e41920f1971ca3a1d071acad29065550
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing accelerator_config: 91a065e9e40236adad3429843eef1e11438c11405515c3bf62902efd725c0f20
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized compression: 0ea55c28f8014d8886b6248fe3da5d588f55c0823847a6b4579f1131b051b5e2
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing compression: b3645b5779df9cccbf847c07436001b8dc8124478588729196f51734fbd87647
DEBUG    jax._src.cache_key:cache_key.py:156 get_cache_key hash of serialized custom_hook: e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
DEBUG    jax._src.cache_key:cache_key.py:162 get_cache_key hash after serializing custom_hook: b3645b5779df9cccbf847c07436001b8dc8124478588729196f51734fbd87647
DEBUG    jax._src.compilation_cache:compilation_cache.py:229 get_executable_and_time: cache is disabled/not initialized
DEBUG    jax._src.compiler:compiler.py:112 PERSISTENT COMPILATION CACHE MISS for 'jit_split' with key 'jit_split-b3645b5779df9cccbf847c07436001b8dc8124478588729196f51734fbd87647'
DEBUG    jax._src.compiler:compiler.py:833 Not writing persistent cache entry for 'jit_split' because it took < 1.00 seconds to compile (0.01s)
DEBUG    jax._src.dispatch:dispatch.py:206 Finished XLA compilation of jit(split) in 0.011219263 sec
DEBUG    jax._src.dispatch:dispatch.py:206 Finished tracing + transforming broadcast_in_dim for pjit in 0.000435591 sec
DEBUG    jax._src.interpreters.pxla:pxla.py:1939 Compiling jit(broadcast_in_dim) with global shapes and types (ShapedArray(float32[]),). Argument mapping: (UnspecifiedValue,).
DEBUG    jax._src.dispatch:dispatch.py:206 Finished jaxpr to MLIR module conversion jit(broadcast_in_dim) in 0.002131462 sec
DEBUG    jax._src.compiler:compiler.py:166 get_compile_options: num_replicas=1 num_partitions=1 device_assignment=[[CpuDevice(id=0)]]
DEBUG    jax._src.compiler:compiler.py:248 get_compile_options XLA-AutoFDO profile: using XLA-AutoFDO profile version -1
